1,1,Bumthang,4
2,2,Chukha,1
3,3,Dagana,2
4,4,Gasa,2
5,5,Haa,1
6,6,Lhuentse,4
7,7,Mongar,4
8,8,Paro,1
9,9,Pemagatshel,4
10,10,Punakha,2
11,11,Samdrupjongkhar,3
12,12,Samtse,3
13,13,Sarpang,3
14,14,Thimphu,1
15,15,Trashigang,4
16,16,Trashiyangtse,4
17,17,Trongsa,2
18,18,Tsirang,2
19,19,Wangdue Phodrang,2
20,20,Zhemgang,3
