1,1,Bumthang
2,2,Chukha
3,3,Dagana
4,4,Gasa
5,5,Haa
6,6,Lhuentse
7,7,Mongar
8,8,Paro
9,9,Pemagatshel
10,10,Punakha
11,11,Samdrupjongkhar
12,12,Samtse
13,13,Sarpang
14,14,Thimphu
15,15,Trashigang
16,16,Trashiyangtse
17,17,Trongsa
18,18,Tsirang
19,19,Wangdue Phodrang
20,20,Zhemgang
