1,1201,12,Norgaygang,27.12659191580,88.84528554100
2,1216,12,Tendu,27.12611532280,88.87489887100
3,1202,12,Pemaling,27.04634186880,88.89654100300
4,1214,12,Tashicholing,27.03537393580,88.88264909600
5,1209,12,Namgyel Chhoeling,27.00759369980,88.92673287200
6,1203,12,Sangacholing,26.98294639480,88.94782987400
7,1208,12,Yoeseltse,26.94623596680,88.96876681400
8,1211,12,Ugentse,26.94834030480,89.00759667500
9,1204,12,Norbugang,26.93288323780,89.03437071900
10,1213,12,Samtse,26.90811928580,89.07312619300
11,1212,12,Phuntshopelri,26.82325351180,89.18854232100
12,1215,12,Tading,26.88017783980,89.32159503800
13,1206,12,Dophuchen,26.99575312480,89.21165729000
14,1207,12,Dungtoe,27.04437127080,89.17822712300
15,1205,12,Denchhukha,27.02204162580,89.23691190000
16,506,5,Gakiling,27.09406536380,89.14775172000
17,505,5,Sangbay,27.16619376480,89.10558548900
18,501,5,Bji,27.41409456880,89.24109289700
19,504,5,Sama,27.29196105280,89.31209230800
20,502,5,Uesu,27.35060486480,89.31034120900
21,503,5,Katsho,27.39646049180,89.27410800900
22,810,8,Tsento,27.48378339180,89.32686861800
23,1409,14,Soe,27.76718178700,89.33543732600
24,1406,14,Lingzhi,27.85987407900,89.43725409900
25,803,8,Doteng,27.48002918980,89.42847980900
26,802,8,Dopshari,27.43118480780,89.41964814000
27,804,8,Hungrel,27.42732,89.42275
28,811,8,Wangchang,27.41816334180,89.42159519100
29,805,8,Lamgong,27.45335682780,89.36456085800
30,806,8,Lungnyi,27.39137200880,89.42699835900
31,808,8,Shapa,27.36901628080,89.46470216500
32,801,8,Doga,27.28482462680,89.51847062000
33,807,8,Naja,27.24776386080,89.41149225600
34,206,2,Dungna,27.03504034880,89.39513694300
35,210,2,Metap,27.05463207680,89.41601060500
36,209,2,Logchina,26.94134060780,89.38912572200
37,211,2,Phuentsholing,26.89769660380,89.37555303000
38,207,2,Geling,27.14236735680,89.52966080400
39,201,2,Samphelling,26.84347429980,89.42503840900
40,205,2,Dala,26.86131823080,89.56785237700
41,203,2,Bongo,26.92665610180,89.59280617100
42,208,2,Getana,26.92669940480,89.74164323200
43,202,2,Bjachho,27.06434780280,89.56764147700
44,204,2,Chapchha,27.19224003280,89.54635080300
45,1403,14,Dagala,27.40606917500,89.70051296900
46,1404,14,Genye,27.30403623100,89.60908771300
47,1407,14,Mewang,27.39022918700,89.58941979300
48,1402,14,Chang,27.44125546400,89.66880178100
49,1405,14,Kawang,27.55270687200,89.65752441800
50,1408,14,Naro,27.69133001200,89.59774150300
51,403,4,Laya,28.06787443880,89.68339461200
52,404,4,Lunana,28.04695965180,90.12195160200
53,401,4,Goenkhame,27.81020465780,89.73067653200
54,402,4,Goenkhatoe,27.89669573580,89.72796936400
55,1003,10,Goenshari,27.70867141960,89.76490318160
56,1005,10,Kabjisa,27.63360973080,89.79127351700
57,1001,10,Chhubu,27.63288029680,89.86084368300
58,1009,10,Toewang,27.63593523980,89.86526267300
59,1007,10,Shengana,27.60498154480,89.92444290000
60,1002,10,Dzoma,27.530498154480,89.92374290000
61,1006,10,Lingmukha,27.55229095680,89.90218940200
62,1010,10,Barp,27.51145299780,89.87126633100
63,1004,10,Guma,27.57024653180,89.86807309900
64,1008,10,Talo,27.55807823380,89.83874088100
65,1011,10,Toepisa,27.52588986580,89.80754595200
66,1908,19,Kazhi,27.54296056780,90.00094763900
67,1914,19,Sephu,27.51760764080,90.29680523600
68,1904,19,Dangchhu,27.61911314080,90.19462132800
69,1910,19,Nyisho,27.51467188180,89.98133234500
70,1902,19,Bjena,27.50448834980,89.99313250100
71,1905,19,Gangte,27.491,1702058090.16656394200
72,1912,19,Phobji,27.44825331280,90.19338916500
73,1901,19,Athang,27.26902169580,90.05022990200
74,1903,19,Daga,27.27164687280,90.03361004700
75,1907,19,Gasetsho Wom,27.39572991580,89.89018900500
76,1906,19,Gasetsho Gom,27.41701298180,89.88598122500
77,1909,19,Nahi,27.45657799380,89.85413454600
78,1913,19,Ruepisa,27.46963756780,89.90240418400
79,1915,19,Thedtsho,27.41127507180,89.94296949300
80,1911,19,Phangyuel,27.51127507180,89.95296949300
81,101,1,Chokhor,27.60460129980,90.71112766300
82,104,1,Ura,27.48790712980,90.91560670800
83,102,1,Chhume,27.49359672880,90.69937767200
84,1704,17,Nubi,27.57047263580,90.45744328000
85,1701,17,Dragteng,27.41146658680,90.52765041300
86,1705,17,Tangsibji,27.46007369580,90.45129812400
87,1703,17,Langthil,27.32266484780,90.58709771300
88,1702,17,Korphu,27.18956471880,90.53234359300
89,310,3,Tseza,26.98539087080,89.95482866700
90,307,3,Lajab,27.08701373680,90.01781228400
91,306,3,Khipisa,26.99539087080,89.96482866700
92,311,3,Tsangkha,27.04226608380,90.03801765800
93,302,3,Drugyelgang,27.04246608380,90.03811765800
94,308,3,Trashiding,27.04245508380,90.03812665800
95,309,3,Tsendagang,27.04236618380,90.03871766800
96,314,3,Nichula,27.04245508380,90.03611765800
97,312,3,karmaling,27.04247708380,90.03853765800
98,313,3,Lhamoizingkha,26.71723921080,89.84694143000
99,305,3,Kalidzingkha,26.78723921080,89.89694143000
100,303,3,Gesarling,26.73723921080,89.81694143000
101,301,3,Dorona,26.95684725180,89.99453135400
102,304,3,Gozhi,26.95084725180,89.94453135400
103,1313,13,Senge,26.84597317980,90.20802312800
104,1311,13,Shompangkha,26.85509465880,90.30092168400
105,1303,13,Dekiling,26.88279793580,90.33740200400
106,1301,13,Bhur,26.91905013780,90.43059802500
